time,open,high,low,close,OnBalanceVolume,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label,%K,%D,Histogram,MACD,Signal
2023-08-01,29232.26,29739.25,28585.7,29705.99,-1551033.1121300044,51.113794566435814,46.425189610306646,NaN,NaN,NaN,NaN,51.113794566435814,NaN,61.159212997336,37.30507027911403,-66.67551242207195,-118.52228787326749,-51.84677545119554
2023-08-02,29705.99,30047.5,28927.5,29186.01,-1599214.7635400044,44.044108946771644,46.008908195825725,NaN,NaN,NaN,NaN,NaN,NaN,32.772306415687545,39.246555225154246,-67.58411331242476,-136.3269170917265,-68.74280377930174
2023-08-03,29186,29433.33,28968,29193.64,-1572737.8436000044,44.16614332355488,45.687163490727826,NaN,NaN,NaN,NaN,NaN,NaN,34.45785864082066,42.796459351281406,-63.49709205554521,-148.11416884873324,-84.61707679318803
2023-08-04,29193.65,29333.08,28807.54,29113.99,-1596289.7957700044,43.10919866748291,45.203414740653116,NaN,NaN,NaN,NaN,NaN,NaN,29.943320297001705,32.3911617845033,-61.918443006899196,-162.01513055181204,-100.09668754491284
2023-08-05,29114,29152.23,28978.64,29072.13,-1607935.3159500044,42.53311169581275,44.77187969457925,NaN,NaN,42.53311169581275,NaN,NaN,NaN,27.570707929490478,30.65729562243762,-59.44195428276086,-174.39913039836392,-114.95717611560306
2023-08-06,29072.13,29205.09,28991.88,29088.42,-1594757.1187500043,42.85316098015523,44.1040572109071,NaN,NaN,NaN,NaN,NaN,NaN,33.20738763970706,30.240471955399755,-52.686061286513706,-180.8147527237452,-128.12869143723148
2023-08-07,29088.43,29276.78,28701.03,29211.06,-1563790.2412900042,45.3220803232566,44.32917041292383,NaN,NaN,NaN,NaN,NaN,NaN,42.78013408126973,34.5194098834891,-36.69498493481717,-173.99742260575294,-137.30243767093577
2023-08-08,29211.06,30244,29146.45,29770.42,-1518089.7073700042,54.893889223556194,45.189182615914184,NaN,NaN,NaN,NaN,54.893889223556194,NaN,71.4418380268949,49.143119915957236,12.200332218233513,-122.05202239814389,-134.2523546163774
2023-08-09,29770.41,30160,29376.67,29581.99,-1556093.594620004,51.6158904583198,45.696654764682535,NaN,NaN,NaN,NaN,NaN,NaN,60.07899656274506,58.10032289030323,31.406198872443866,-94.99460602582258,-126.40080489826644
2023-08-10,29581.99,29738,29320.2,29455.75,-1579557.048350004,49.48392320634172,46.152794147978234,NaN,NaN,NaN,NaN,NaN,NaN,52.466381233793626,61.32907194114453,34.89372930078646,-82.78364327228337,-117.67737257306983
2023-08-11,29455.76,29564.52,29252.45,29426.03,-1600194.092650004,48.971093224931394,46.476333041626,NaN,NaN,NaN,NaN,NaN,NaN,50.67418440571661,54.4065207340851,34.42664003393352,-74.64407253065292,-109.07071256458644
2023-08-12,29426.02,29481.35,29381.56,29430.17,-1591222.611970004,49.05030451657335,46.763174455522226,NaN,NaN,NaN,NaN,NaN,NaN,50.923837665078565,51.3548011015296,33.58775816748141,-67.08601485523468,-100.67377302271609
